epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5967,0.43479,0.47106,0.20788,0.74787,0.9437,0.23733,0.31113,0,0.000543587,0.000543587,0.000543587
2,132.157,0.12616,0.24668,0.08399,0.83656,0.97019,0.20619,0.14512,0,0.00104484,0.00104484,0.00104484
3,197.33,0.06881,0.13802,0.04931,0.92643,0.98932,0.03976,0.07579,0,0.00149108,0.00149108,0.00149108
4,262.227,0.04756,0.09142,0.03183,0.92018,0.9882,0.04472,0.07315,0,0.00141945,0.00141945,0.00141945
5,326.009,0.04228,0.06865,0.02415,0.93391,0.99052,0.03105,0.05543,0,0.00133693,0.00133693,0.00133693
6,389.433,0.03453,0.06375,0.01866,0.93972,0.99142,0.02758,0.04524,0,0.00125442,0.00125442,0.00125442
7,452.658,0.03903,0.06438,0.01731,0.93955,0.99148,0.02624,0.04131,0,0.0011719,0.0011719,0.0011719
8,516.089,0.03292,0.05476,0.01513,0.94428,0.99206,0.02428,0.03788,0,0.00108938,0.00108938,0.00108938
9,579.41,0.02983,0.04782,0.01351,0.94357,0.99185,0.02399,0.03975,0,0.00100687,0.00100687,0.00100687
10,642.751,0.03406,0.04995,0.01383,0.94316,0.99205,0.02386,0.03736,0,0.000924352,0.000924352,0.000924352
11,727.492,0.05905,0.05339,0.02198,0.94429,0.99209,0.02287,0.03906,0,0.000841835,0.000841835,0.000841835
12,785.289,0.04223,0.04191,0.01652,0.94253,0.99169,0.02309,0.03958,0,0.000759318,0.000759318,0.000759318
13,844.027,0.03904,0.04318,0.01557,0.94551,0.99238,0.02146,0.03777,0,0.000676802,0.000676802,0.000676802
14,902.698,0.03427,0.03712,0.01383,0.94666,0.99238,0.02195,0.03739,0,0.000594286,0.000594286,0.000594286
15,961.477,0.03609,0.03836,0.01451,0.94568,0.99222,0.02256,0.03884,0,0.000511769,0.000511769,0.000511769
16,1020.01,0.03198,0.03564,0.01306,0.94855,0.99272,0.0206,0.03495,0,0.000429253,0.000429253,0.000429253
17,1078.55,0.03447,0.0362,0.01378,0.94736,0.99249,0.02167,0.03694,0,0.000346736,0.000346736,0.000346736
18,1137.02,0.03118,0.03361,0.0126,0.94923,0.99287,0.02045,0.03456,0,0.00026422,0.00026422,0.00026422
19,1195.5,0.03345,0.03543,0.01346,0.94862,0.99267,0.02054,0.03489,0,0.000181703,0.000181703,0.000181703
20,1254.51,0.03194,0.03368,0.01291,0.94992,0.99293,0.01972,0.03389,0,9.91865e-05,9.91865e-05,9.91865e-05
